"No.","Time","Source","Destination","Protocol","Length","Info"
"19","1.005047","45.60.76.225","192.168.68.54","TCP","54","443  >  55886 [ACK] Seq=1 Ack=4150 Win=487 Len=0"
"20","1.005047","45.60.76.225","192.168.68.54","TLSv1.2","93","Application Data"
"21","1.009206","80.69.96.12","192.168.68.54","DNS","156","Standard query response 0x46cf A bam.nr-data.net CNAME bam.cell.nr-data.net CNAME fastly-tls12-bam.nr-data.net A 162.247.243.29"
"22","1.009206","45.60.76.225","192.168.68.54","TLSv1.2","437","Application Data"
"23","1.009206","80.69.96.12","192.168.68.54","DNS","131","Standard query response 0xa7cd HTTPS felix.hs-furtwangen.de SOA ns.hs-furtwangen.de"
"24","1.009206","80.69.96.12","192.168.68.54","DNS","229","Standard query response 0xd99e HTTPS bam.nr-data.net CNAME bam.cell.nr-data.net CNAME bam.nr-data.net.cdn.cloudflare.net SOA ns1.cloudflare.net"
"25","1.009447","192.168.68.54","45.60.76.225","TCP","54","55886  >  443 [ACK] Seq=4150 Ack=423 Win=1024 Len=0"
"26","1.010935","157.240.223.60","192.168.68.54","TLSv1.2","126","Application Data"
"27","1.011302","192.168.68.54","217.28.108.237","TCP","66","55910  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"28","1.012193","192.168.68.54","162.247.243.29","TCP","66","55911  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"29","1.043381","217.28.108.237","192.168.68.54","TCP","66","443  >  55910 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1380 SACK_PERM WS=128"
"30","1.043381","162.247.243.29","192.168.68.54","TCP","66","443  >  55911 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=960 SACK_PERM WS=512"
"31","1.043685","192.168.68.54","217.28.108.237","TCP","54","55910  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"32","1.043835","192.168.68.54","162.247.243.29","TCP","54","55911  >  443 [ACK] Seq=1 Ack=1 Win=262912 Len=0"
"33","1.044517","192.168.68.54","162.247.243.29","TLSv1.3","2114","Client Hello (SNI=bam.nr-data.net)"
"34","1.045165","192.168.68.54","217.28.108.237","TLSv1.3","1881","Client Hello (SNI=felix.hs-furtwangen.de)"
"35","1.062382","192.168.68.54","157.240.223.60","TCP","54","54176  >  443 [ACK] Seq=71 Ack=73 Win=1024 Len=0"
"36","1.074124","162.247.243.29","192.168.68.54","TCP","54","443  >  55911 [ACK] Seq=1 Ack=961 Win=98304 Len=0"
"37","1.082125","162.247.243.29","192.168.68.54","TCP","54","443  >  55911 [ACK] Seq=1 Ack=2061 Win=100352 Len=0"
"38","1.082125","162.247.243.29","192.168.68.54","TLSv1.3","1010","Server Hello, Change Cipher Spec, Application Data"
"39","1.082125","162.247.243.29","192.168.68.54","TCP","1010","443  >  55911 [PSH, ACK] Seq=957 Ack=2061 Win=100352 Len=956 [TCP segment of a reassembled PDU]"
"40","1.082125","162.247.243.29","192.168.68.54","TCP","1010","443  >  55911 [ACK] Seq=1913 Ack=2061 Win=100352 Len=956 [TCP segment of a reassembled PDU]"
"41","1.082125","162.247.243.29","192.168.68.54","TLSv1.3","1010","Application Data"
"42","1.082125","162.247.243.29","192.168.68.54","TLSv1.3","487","Application Data, Application Data, Application Data"
"43","1.082125","54.173.95.250","192.168.68.54","TLSv1.2","152","Application Data"
"44","1.082886","192.168.68.54","162.247.243.29","TCP","54","55911  >  443 [ACK] Seq=2061 Ack=4258 Win=262912 Len=0"
"45","1.083634","192.168.68.54","162.247.243.29","TLSv1.3","118","Change Cipher Spec, Application Data"
"46","1.083814","217.28.108.237","192.168.68.54","TCP","54","443  >  55910 [ACK] Seq=1 Ack=1381 Win=64128 Len=0"
"47","1.083814","217.28.108.237","192.168.68.54","TCP","54","443  >  55910 [ACK] Seq=1 Ack=1828 Win=63744 Len=0"
"48","1.083814","162.159.133.234","192.168.68.54","TLSv1.2","88","Application Data"
"49","1.084361","192.168.68.54","162.247.243.29","TLSv1.3","1327","Application Data"
"50","1.088471","217.28.108.237","192.168.68.54","TLSv1.3","1434","Server Hello, Change Cipher Spec, Application Data"
"51","1.088471","217.28.108.237","192.168.68.54","TLSv1.3","1096","Application Data, Application Data, Application Data"
"52","1.088855","192.168.68.54","217.28.108.237","TCP","54","55910  >  443 [ACK] Seq=1828 Ack=2423 Win=262144 Len=0"
"53","1.090019","192.168.68.54","217.28.108.237","TLSv1.3","134","Change Cipher Spec, Application Data"
"54","1.090384","192.168.68.54","217.28.108.237","TLSv1.3","1065","Application Data"
"55","1.111438","162.247.243.29","192.168.68.54","TCP","54","443  >  55911 [ACK] Seq=4258 Ack=2125 Win=100352 Len=0"
"56","1.111438","162.247.243.29","192.168.68.54","TCP","54","443  >  55911 [ACK] Seq=4258 Ack=3398 Win=102912 Len=0"
"57","1.122800","192.168.68.54","54.173.95.250","TCP","54","55813  >  443 [ACK] Seq=1357 Ack=99 Win=511 Len=0"
"58","1.123470","217.28.108.237","192.168.68.54","TLSv1.3","133","Application Data"
"59","1.123470","217.28.108.237","192.168.68.54","TLSv1.3","133","Application Data"
"60","1.123470","217.28.108.237","192.168.68.54","TCP","1434","443  >  55910 [ACK] Seq=2581 Ack=2919 Win=64128 Len=1380 [TCP segment of a reassembled PDU]"
"61","1.123470","217.28.108.237","192.168.68.54","TLSv1.3","319","Application Data"
"62","1.123808","192.168.68.54","217.28.108.237","TCP","54","55910  >  443 [ACK] Seq=2919 Ack=4226 Win=262144 Len=0"
"63","1.137715","192.168.68.54","162.159.133.234","TCP","54","53363  >  443 [ACK] Seq=55 Ack=35 Win=1024 Len=0"
"64","1.185955","192.168.68.54","23.50.131.152","TCP","55","55885  >  443 [ACK] Seq=1 Ack=1 Win=1024 Len=1 [TCP segment of a reassembled PDU]"
"65","1.209412","23.50.131.152","192.168.68.54","TCP","66","443  >  55885 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"66","1.223695","162.247.243.29","192.168.68.54","TLSv1.3","440","Application Data, Application Data"
"67","1.276947","192.168.68.54","162.247.243.29","TCP","54","55911  >  443 [ACK] Seq=3398 Ack=4644 Win=262400 Len=0"
"68","3.108494","192.168.68.1","239.255.255.250","SSDP","493","NOTIFY * HTTP/1.1 "
"69","3.108494","fe80::ae15:a2ff:fe44:9448","ff02::c","SSDP","500","NOTIFY * HTTP/1.1 "
"70","3.416615","162.159.133.234","192.168.68.54","TLSv1.2","148","Application Data"
"71","3.457900","192.168.68.54","162.159.133.234","TCP","54","53363  >  443 [ACK] Seq=55 Ack=129 Win=1024 Len=0"
"72","3.722795","TPLink_44:94:48","Broadcast","ARP","60","Who has 192.168.68.52? Tell 192.168.68.1"
"73","3.952679","192.168.68.54","18.210.82.135","TLSv1.2","125","Application Data"
"74","4.134710","18.210.82.135","192.168.68.54","TLSv1.2","148","Application Data"
"75","4.165847","162.159.133.234","192.168.68.54","TLSv1.2","173","Application Data"
"76","4.183376","192.168.68.54","18.210.82.135","TCP","54","55811  >  443 [ACK] Seq=72 Ack=95 Win=514 Len=0"
"77","4.213872","192.168.68.54","162.159.133.234","TCP","54","53363  >  443 [ACK] Seq=55 Ack=248 Win=1023 Len=0"
"78","4.954067","192.168.68.54","54.173.95.250","TLSv1.2","125","Application Data"
"79","5.013140","142.250.184.202","192.168.68.54","TLSv1.2","138","Application Data"
"80","5.029854","192.168.68.54","142.250.184.202","TLSv1.2","89","Application Data"
"81","5.030124","192.168.68.54","142.250.184.202","TLSv1.2","89","Application Data"
"82","5.064171","142.250.184.202","192.168.68.54","TCP","54","443  >  55888 [ACK] Seq=85 Ack=36 Win=400 Len=0"
"83","5.070713","142.250.184.202","192.168.68.54","TCP","54","443  >  55888 [ACK] Seq=85 Ack=71 Win=400 Len=0"
"84","5.070713","54.173.95.250","192.168.68.54","TLSv1.2","148","Application Data"
"85","5.124197","192.168.68.54","54.173.95.250","TCP","54","55813  >  443 [ACK] Seq=1428 Ack=193 Win=511 Len=0"
"86","6.593818","192.168.68.54","35.186.224.34","TLSv1.2","97","Application Data"
"87","6.631727","35.186.224.34","192.168.68.54","TCP","54","443  >  52294 [ACK] Seq=1 Ack=44 Win=290 Len=0"
"88","6.634609","35.186.224.34","192.168.68.54","TLSv1.2","94","Application Data"
"89","6.680768","192.168.68.54","35.186.224.34","TCP","54","52294  >  443 [ACK] Seq=44 Ack=41 Win=1024 Len=0"
"90","7.000366","162.159.133.234","192.168.68.54","TLSv1.2","143","Application Data"
"91","7.052032","192.168.68.54","162.159.133.234","TCP","54","53363  >  443 [ACK] Seq=55 Ack=337 Win=1023 Len=0"
"92","7.101167","192.168.68.1","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"93","7.111882","fe80::ae15:a2ff:fe44:9448","ff02::c","SSDP","502","NOTIFY * HTTP/1.1 "
"94","7.348066","192.168.68.54","192.229.221.95","TCP","54","55222  >  80 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"95","7.348066","192.168.68.54","92.123.104.53","TCP","54","55213  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"96","7.363789","192.168.68.54","92.123.104.7","TCP","54","55210  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"97","7.820061","162.159.133.234","192.168.68.54","TLSv1.2","192","Application Data"
"98","7.867550","192.168.68.54","162.159.133.234","TCP","54","53363  >  443 [ACK] Seq=55 Ack=475 Win=1022 Len=0"
"99","8.160048","192.168.68.54","216.239.32.180","TLSv1.2","2423","Application Data"
"100","8.160186","192.168.68.54","216.239.32.180","TLSv1.2","93","Application Data"
"101","8.160255","192.168.68.54","216.239.32.180","TLSv1.2","161","Application Data"
"102","8.202450","216.239.32.180","192.168.68.54","TCP","54","443  >  55880 [ACK] Seq=1 Ack=1413 Win=488 Len=0"
"103","8.202450","216.239.32.180","192.168.68.54","TCP","54","443  >  55880 [ACK] Seq=1 Ack=2370 Win=489 Len=0"
"104","8.202450","216.239.32.180","192.168.68.54","TCP","54","443  >  55880 [ACK] Seq=1 Ack=2409 Win=489 Len=0"
"105","8.202450","216.239.32.180","192.168.68.54","TCP","54","443  >  55880 [ACK] Seq=1 Ack=2516 Win=489 Len=0"
"106","8.203907","216.239.32.180","192.168.68.54","TLSv1.2","93","Application Data"
"107","8.252723","192.168.68.54","216.239.32.180","TCP","54","55880  >  443 [ACK] Seq=2516 Ack=40 Win=1020 Len=0"
"108","8.434692","216.239.32.180","192.168.68.54","TLSv1.2","613","Application Data"
"109","8.434692","216.239.32.180","192.168.68.54","TLSv1.2","129","Application Data"
"110","8.434692","216.239.32.180","192.168.68.54","TLSv1.2","85","Application Data"
"111","8.434692","216.239.32.180","192.168.68.54","TLSv1.2","93","Application Data"
"112","8.435000","192.168.68.54","216.239.32.180","TCP","54","55880  >  443 [ACK] Seq=2516 Ack=744 Win=1025 Len=0"
"113","8.436441","192.168.68.54","216.239.32.180","TLSv1.2","89","Application Data"
"114","8.436658","192.168.68.54","216.239.32.180","TLSv1.2","93","Application Data"
"115","8.450845","192.168.68.54","142.250.74.206","TCP","66","55912  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"116","8.467755","216.239.32.180","192.168.68.54","TCP","54","443  >  55880 [ACK] Seq=744 Ack=2590 Win=489 Len=0"
"117","8.488481","142.250.74.206","192.168.68.54","TCP","66","443  >  55912 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"118","8.488801","192.168.68.54","142.250.74.206","TCP","54","55912  >  443 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"119","8.490226","192.168.68.54","142.250.74.206","TLSv1.3","2242","Client Hello (SNI=clients6.google.com)"
"120","8.523953","142.250.74.206","192.168.68.54","TCP","54","443  >  55912 [ACK] Seq=1 Ack=1413 Win=68608 Len=0"
"121","8.523953","142.250.74.206","192.168.68.54","TCP","54","[TCP Dup ACK 120#1] 443  >  55912 [ACK] Seq=1 Ack=1413 Win=68608 Len=0"
"122","8.523953","142.250.74.206","192.168.68.54","TCP","54","443  >  55912 [ACK] Seq=1 Ack=2189 Win=71424 Len=0"
"123","8.535048","142.250.74.206","192.168.68.54","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"124","8.535048","142.250.74.206","192.168.68.54","TLSv1.3","110","Application Data"
"125","8.535643","192.168.68.54","142.250.74.206","TCP","54","55912  >  443 [ACK] Seq=2189 Ack=1469 Win=262400 Len=0"
"126","8.536972","192.168.68.54","142.250.74.206","TLSv1.3","128","Change Cipher Spec, Application Data"
"127","8.537539","192.168.68.54","142.250.74.206","TLSv1.3","146","Application Data"
"128","8.538189","192.168.68.54","142.250.74.206","TLSv1.3","905","Application Data"
"129","8.570399","142.250.74.206","192.168.68.54","TLSv1.3","1022","Application Data, Application Data"
"130","8.571372","192.168.68.54","142.250.74.206","TLSv1.3","85","Application Data"
"131","8.576868","142.250.74.206","192.168.68.54","TLSv1.3","85","Application Data"
"132","8.583651","142.250.74.206","192.168.68.54","TCP","54","443  >  55912 [ACK] Seq=2468 Ack=3206 Win=74240 Len=0"
"133","8.605158","142.250.74.206","192.168.68.54","TCP","54","443  >  55912 [ACK] Seq=2468 Ack=3237 Win=74240 Len=0"
"134","8.618978","192.168.68.54","142.250.74.206","TCP","54","55912  >  443 [ACK] Seq=3237 Ack=2468 Win=261632 Len=0"
"135","8.636538","TPLink_44:94:48","Broadcast","ARP","60","Who has 192.168.68.54? Tell 192.168.68.1"
"136","8.636751","Intel_8c:31:f1","TPLink_44:94:48","ARP","42","192.168.68.54 is at cc:d9:ac:8c:31:f1"
"137","8.702071","142.250.74.206","192.168.68.54","TLSv1.3","696","Application Data"
"138","8.702071","142.250.74.206","192.168.68.54","TLSv1.3","93","[TCP Previous segment not captured] , Application Data"
"139","8.702071","142.250.74.206","192.168.68.54","TCP","85","[TCP Out-Of-Order] 443  >  55912 [PSH, ACK] Seq=3110 Ack=3237 Win=74240 Len=31"
"140","8.702268","192.168.68.54","142.250.74.206","TCP","66","55912  >  443 [ACK] Seq=3237 Ack=3110 Win=262400 Len=0 SLE=3141 SRE=3180"
"141","8.702368","192.168.68.54","142.250.74.206","TCP","54","55912  >  443 [ACK] Seq=3237 Ack=3180 Win=262400 Len=0"
"142","8.703601","192.168.68.54","142.250.74.206","TLSv1.3","93","Application Data"
"143","8.704036","192.168.68.54","142.250.74.206","TLSv1.2","3198","Application Data"
"144","8.704185","192.168.68.54","142.250.74.206","TLSv1.2","93","Application Data"
"145","8.704324","192.168.68.54","142.250.74.206","TLSv1.2","16460","Application Data"
"146","8.704483","192.168.68.54","142.250.74.206","TCP","1466","55889  >  443 [ACK] Seq=19590 Ack=1 Win=1025 Len=1412 [TCP segment of a reassembled PDU]"
"147","8.739360","142.250.74.206","192.168.68.54","TCP","54","443  >  55912 [ACK] Seq=3180 Ack=3276 Win=74240 Len=0"
"148","8.751626","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=1 Ack=2825 Win=345 Len=0"
"149","8.751626","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=1 Ack=4596 Win=367 Len=0"
"150","8.751626","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=1 Ack=7420 Win=389 Len=0"
"151","8.751626","142.250.74.206","192.168.68.54","TLSv1.2","93","Application Data"
"152","8.751838","192.168.68.54","142.250.74.206","TLSv1.2","15586","Application Data"
"153","8.757373","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=10244 Win=411 Len=0"
"154","8.757373","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=13068 Win=433 Len=0"
"155","8.757495","192.168.68.54","142.250.74.206","TCP","11350","55889  >  443 [ACK] Seq=36534 Ack=40 Win=1025 Len=11296 [TCP segment of a reassembled PDU]"
"156","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=14480 Win=444 Len=0"
"157","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=15892 Win=455 Len=0"
"158","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=17304 Win=466 Len=0"
"159","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=18716 Win=477 Len=0"
"160","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=19590 Win=488 Len=0"
"161","8.766551","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=21002 Win=489 Len=0"
"162","8.767070","192.168.68.54","142.250.74.206","TLSv1.2","15586","Application Data"
"163","8.791853","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=22414 Win=489 Len=0"
"164","8.791853","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=23826 Win=489 Len=0"
"165","8.792044","192.168.68.54","142.250.74.206","TLSv1.2","5702","Application Data"
"166","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=25238 Win=489 Len=0"
"167","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=26650 Win=489 Len=0"
"168","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=28062 Win=489 Len=0"
"169","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=29474 Win=489 Len=0"
"170","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=30886 Win=489 Len=0"
"171","8.800312","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=32298 Win=489 Len=0"
"172","8.800792","192.168.68.54","142.250.74.206","TLSv1.2","16998","Application Data"
"173","8.805569","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=33710 Win=489 Len=0"
"174","8.805569","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=35122 Win=489 Len=0"
"175","8.805569","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=36534 Win=489 Len=0"
"176","8.805569","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=37946 Win=489 Len=0"
"177","8.805569","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=39358 Win=489 Len=0"
"178","8.805772","192.168.68.54","142.250.74.206","TCP","14174","55889  >  443 [PSH, ACK] Seq=85954 Ack=40 Win=1025 Len=14120 [TCP segment of a reassembled PDU]"
"179","8.811777","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=40770 Win=489 Len=0"
"180","8.811777","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=43594 Win=489 Len=0"
"181","8.811949","192.168.68.54","142.250.74.206","TLSv1.2","1727","Application Data, Application Data"
"182","8.815956","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=46418 Win=489 Len=0"
"183","8.815956","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=49242 Win=489 Len=0"
"184","8.815956","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=52066 Win=489 Len=0"
"185","8.820359","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=54890 Win=489 Len=0"
"186","8.821975","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=57714 Win=489 Len=0"
"187","8.821975","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=60538 Win=500 Len=0"
"188","8.821975","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=61950 Win=511 Len=0"
"189","8.821975","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=63362 Win=522 Len=0"
"190","8.825349","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=64774 Win=533 Len=0"
"191","8.825349","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=66186 Win=545 Len=0"
"192","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=67598 Win=556 Len=0"
"193","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=69010 Win=567 Len=0"
"194","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=70422 Win=578 Len=0"
"195","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=71834 Win=589 Len=0"
"196","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=73246 Win=600 Len=0"
"197","8.831408","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=74658 Win=611 Len=0"
"198","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=76070 Win=622 Len=0"
"199","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=77482 Win=633 Len=0"
"200","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=78894 Win=644 Len=0"
"201","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=80306 Win=655 Len=0"
"202","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=81718 Win=666 Len=0"
"203","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=83130 Win=677 Len=0"
"204","8.836870","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=84542 Win=688 Len=0"
"205","8.844273","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=85954 Win=699 Len=0"
"206","8.844273","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=87366 Win=710 Len=0"
"207","8.844273","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=88778 Win=721 Len=0"
"208","8.844273","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=90190 Win=732 Len=0"
"209","8.844273","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=91602 Win=743 Len=0"
"210","8.849430","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=93014 Win=754 Len=0"
"211","8.849430","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=94426 Win=765 Len=0"
"212","8.849430","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=95838 Win=776 Len=0"
"213","8.849430","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=97250 Win=787 Len=0"
"214","8.852350","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=98662 Win=798 Len=0"
"215","8.855197","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=100074 Win=809 Len=0"
"216","8.860961","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=101486 Win=820 Len=0"
"217","8.860961","142.250.74.206","192.168.68.54","TCP","54","443  >  55889 [ACK] Seq=40 Ack=101747 Win=831 Len=0"
"218","8.862572","192.168.68.54","52.111.243.2","TLSv1.2","82","Application Data"
"219","8.959928","52.111.243.2","192.168.68.54","TCP","54","443  >  55671 [ACK] Seq=1 Ack=29 Win=16382 Len=0"
"220","9.803369","192.168.68.54","52.111.243.2","TLSv1.2","82","Application Data"
"221","9.887243","52.111.243.2","192.168.68.54","TCP","54","443  >  55672 [ACK] Seq=1 Ack=29 Win=16384 Len=0"
"222","10.379712","142.250.74.206","192.168.68.54","TLSv1.2","1362","Application Data"
"223","10.379712","142.250.74.206","192.168.68.54","TLSv1.2","1466","Application Data"
"224","10.379712","142.250.74.206","192.168.68.54","TLSv1.2","697","Application Data, Application Data"
"225","10.379712","142.250.74.206","192.168.68.54","TLSv1.2","93","Application Data"
"226","10.380187","192.168.68.54","142.250.74.206","TCP","54","55889  >  443 [ACK] Seq=101747 Ack=3442 Win=1025 Len=0"
"227","10.383890","192.168.68.54","142.250.74.206","TLSv1.2","89","Application Data"
"228","10.384146","192.168.68.54","142.250.74.206","TLSv1.2","93","Application Data"
"229","10.391675","142.250.74.206","192.168.68.54","TCP","93","[TCP Spurious Retransmission] 443  >  55889 [PSH, ACK] Seq=3403 Ack=101747 Win=831 Len=39"
"230","10.391946","192.168.68.54","142.250.74.206","TCP","66","[TCP Dup ACK 226#1] 55889  >  443 [ACK] Seq=101821 Ack=3442 Win=1025 Len=0 SLE=3403 SRE=3442"
"231","10.397585","192.168.68.54","216.239.32.180","TLSv1.2","2491","Application Data"
"232","10.397954","192.168.68.54","216.239.32.180","TLSv1.2","366","Application Data"
"233","10.400311","192.168.68.54","216.239.32.180","TLSv1.2","2515","Application Data"
"234","10.400676","192.168.68.54","216.239.32.180","TLSv1.2","402","Application Data"
